 PageNo, Speed, Length, RealPower, SetFrequency, SetDuty, SetPower, GateOnTime, WorkingTime
1,250,241.1,1713,1000,100,82,1154, 2022-08-03 15:24:10.491
2,250,241.2,1695,1000,100,83,1670, 2022-08-03 15:24:13.743
3,250,241.1,1718,1000,100,82,1153, 2022-08-03 15:24:16.537
4,250,241.2,1698,1000,100,83,1670, 2022-08-03 15:24:19.741
5,250,241.1,1721,1000,100,82,1154, 2022-08-03 15:24:22.509
6,250,241.2,1695,1000,100,83,1670, 2022-08-03 15:24:25.785
7,250,241.1,1721,1000,100,82,1153, 2022-08-03 15:24:31.841
8,250,241.2,1699,1000,100,83,1670, 2022-08-03 15:24:35.063
9,250,241.1,1723,1000,100,82,1154, 2022-08-03 15:24:37.903
10,250,241.2,1700,1000,100,83,1670, 2022-08-03 15:24:41.145
11,250,241.1,1724,1000,100,82,1154, 2022-08-03 15:24:43.917
12,250,241.2,693,1000,100,83,1670, 2022-08-03 15:24:47.181
13,30,19.4,692,1000,100,38,650, 2022-08-03 15:24:51.745
14,30,19.4,692,1000,100,35,650, 2022-08-03 15:24:53.509
15,30,19.4,692,1000,100,38,650, 2022-08-03 15:24:56.463
16,30,19.4,692,1000,100,38,650, 2022-08-03 15:24:59.925
17,30,19.4,692,1000,100,38,650, 2022-08-03 15:25:01.643
18,30,19.4,1717,1000,100,38,650, 2022-08-03 15:25:03.363
19,250,241.1,1716,1000,100,83,1670, 2022-08-03 15:25:24.345
20,250,241.2,1698,1000,100,82,1154, 2022-08-03 15:25:26.967
21,250,241.1,1722,1000,100,83,1670, 2022-08-03 15:25:30.483
22,250,241.2,1700,1000,100,82,1154, 2022-08-03 15:25:33.211
23,250,241.1,1724,1000,100,83,1670, 2022-08-03 15:25:36.693
24,250,241.2,1702,1000,100,82,1154, 2022-08-03 15:25:39.349
25,250,241.1,1722,1000,100,83,1670, 2022-08-03 15:25:46.025
26,250,241.2,1702,1000,100,82,1154, 2022-08-03 15:25:48.661
27,250,241.1,1726,1000,100,83,1670, 2022-08-03 15:25:52.183
28,250,241.2,1703,1000,100,82,1154, 2022-08-03 15:25:54.869
29,250,241.1,1727,1000,100,83,1670, 2022-08-03 15:25:58.427
30,250,241.2,1704,1000,100,82,1154, 2022-08-03 15:26:01.061
31,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:05.567
32,30,19.4,692,1000,100,38,650, 2022-08-03 15:26:07.097
33,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:10.179
34,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:11.923
35,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:15.383
36,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:17.121
37,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:18.849
38,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:21.923
39,30,19.4,693,1000,100,38,650, 2022-08-03 15:26:23.419
1,250,241.1,1687,1000,100,82,1154, 2022-08-03 16:19:59.207
2,250,241.2,1713,1000,100,83,1670, 2022-08-03 16:20:02.581
3,250,241.1,1695,1000,100,82,1153, 2022-08-03 16:20:05.329
4,250,241.2,1718,1000,100,83,1670, 2022-08-03 16:20:08.597
5,250,241.1,1698,1000,100,82,1154, 2022-08-03 16:20:11.367
6,250,241.2,1721,1000,100,83,1670, 2022-08-03 16:20:14.681
7,250,241.1,1695,1000,100,82,1153, 2022-08-03 16:20:20.611
8,250,241.2,1721,1000,100,83,1670, 2022-08-03 16:20:23.957
9,250,241.1,1699,1000,100,82,1154, 2022-08-03 16:20:26.761
10,250,241.2,1723,1000,100,83,1670, 2022-08-03 16:20:30.003
11,250,241.1,1700,1000,100,82,1154, 2022-08-03 16:20:32.833
12,250,241.2,1724,1000,100,83,1670, 2022-08-03 16:20:36.125
13,30,19.4,693,1000,100,38,650, 2022-08-03 16:20:40.967
14,30,19.4,692,1000,100,35,650, 2022-08-03 16:20:42.685
15,30,19.4,692,1000,100,38,650, 2022-08-03 16:20:45.587
16,30,19.4,692,1000,100,38,650, 2022-08-03 16:20:48.933
17,30,19.4,692,1000,100,38,650, 2022-08-03 16:20:50.673
18,30,19.4,692,1000,100,38,650, 2022-08-03 16:20:52.331
19,250,241.1,1716,1000,100,83,1670, 2022-08-03 16:21:13.755
20,250,241.2,1698,1000,100,82,1154, 2022-08-03 16:21:16.415
21,250,241.1,1722,1000,100,83,1670, 2022-08-03 16:21:19.953
22,250,241.2,1700,1000,100,82,1154, 2022-08-03 16:21:22.585
23,250,241.1,1724,1000,100,83,1670, 2022-08-03 16:21:26.025
24,250,241.2,1702,1000,100,82,1154, 2022-08-03 16:21:28.705
25,250,241.1,1722,1000,100,83,1670, 2022-08-03 16:21:35.383
26,250,241.2,1702,1000,100,82,1154, 2022-08-03 16:21:38.079
27,250,241.1,1726,1000,100,83,1670, 2022-08-03 16:21:41.535
28,250,241.2,1703,1000,100,82,1154, 2022-08-03 16:21:44.175
29,250,241.1,1727,1000,100,83,1670, 2022-08-03 16:21:47.665
30,250,241.2,1704,1000,100,82,1154, 2022-08-03 16:21:50.275
31,30,19.4,693,1000,100,38,650, 2022-08-03 16:21:54.731
32,30,19.4,692,1000,100,38,650, 2022-08-03 16:21:56.363
33,30,19.4,693,1000,100,38,650, 2022-08-03 16:21:59.421
34,30,19.4,693,1000,100,38,650, 2022-08-03 16:22:01.191
35,30,19.4,693,1000,100,38,650, 2022-08-03 16:22:04.653
36,30,19.4,693,1000,100,38,650, 2022-08-03 16:22:06.381
37,30,19.4,692,1000,100,38,650, 2022-08-03 16:22:08.091
38,30,19.4,693,1000,100,38,650, 2022-08-03 16:22:11.047
39,30,19.4,692,1000,100,38,650, 2022-08-03 16:22:12.571
1,250,241.1,0,1000,100,82,1154, 2022-08-03 16:35:45.705
2,250,241.2,0,1000,100,83,1670, 2022-08-03 16:35:49.031
3,250,241.1,0,1000,100,82,1153, 2022-08-03 16:35:51.847
4,250,241.2,0,1000,100,83,1670, 2022-08-03 16:35:55.107
5,250,241.1,0,1000,100,82,1154, 2022-08-03 16:35:57.961
6,250,241.2,0,1000,100,83,1670, 2022-08-03 16:36:01.189
7,250,241.1,0,1000,100,82,1153, 2022-08-03 16:36:07.091
8,250,241.2,0,1000,100,83,1670, 2022-08-03 16:36:10.363
9,250,241.1,0,1000,100,82,1154, 2022-08-03 16:36:13.169
10,250,241.2,0,1000,100,83,1670, 2022-08-03 16:36:16.337
11,250,241.1,0,1000,100,82,1154, 2022-08-03 16:36:19.107
12,250,241.2,0,1000,100,83,1670, 2022-08-03 16:36:22.321
13,30,19.4,0,1000,100,38,650, 2022-08-03 16:36:26.861
14,30,19.4,0,1000,100,35,650, 2022-08-03 16:36:28.557
15,30,19.4,0,1000,100,38,650, 2022-08-03 16:36:31.505
16,30,19.4,0,1000,100,38,650, 2022-08-03 16:36:34.901
17,30,19.4,0,1000,100,38,650, 2022-08-03 16:36:36.665
18,30,19.4,0,1000,100,38,650, 2022-08-03 16:36:38.329
19,250,241.1,0,1000,100,83,1670, 2022-08-03 16:36:59.453
20,250,241.2,0,1000,100,82,1154, 2022-08-03 16:37:02.085
21,250,241.1,0,1000,100,83,1670, 2022-08-03 16:37:05.575
22,250,241.2,0,1000,100,82,1154, 2022-08-03 16:37:08.261
23,250,241.1,0,1000,100,83,1670, 2022-08-03 16:37:11.673
24,250,241.2,0,1000,100,82,1154, 2022-08-03 16:37:14.249
25,250,241.1,0,1000,100,83,1670, 2022-08-03 16:37:20.951
26,250,241.2,0,1000,100,82,1154, 2022-08-03 16:37:23.555
27,250,241.1,0,1000,100,83,1670, 2022-08-03 16:37:27.017
28,250,241.2,0,1000,100,82,1154, 2022-08-03 16:37:29.673
29,250,241.1,0,1000,100,83,1670, 2022-08-03 16:37:33.153
30,250,241.2,0,1000,100,82,1154, 2022-08-03 16:37:35.819
31,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:40.301
32,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:41.867
33,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:44.927
34,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:46.667
35,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:50.119
36,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:51.851
37,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:53.573
38,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:56.529
39,30,19.4,0,1000,100,38,650, 2022-08-03 16:37:58.045
1,250,241.1,1192,1000,100,82,1154, 2022-08-03 17:09:19.664
2,250,241.2,1218,1000,100,83,1670, 2022-08-03 17:09:22.996
3,250,241.1,1199,1000,100,82,1153, 2022-08-03 17:09:25.804
4,250,241.2,1223,1000,100,83,1670, 2022-08-03 17:09:29.000
5,250,241.1,1202,1000,100,82,1154, 2022-08-03 17:09:31.812
6,250,241.2,1226,1000,100,83,1670, 2022-08-03 17:09:35.076
7,250,241.1,1199,1000,100,82,1153, 2022-08-03 17:09:41.114
8,250,241.2,1226,1000,100,83,1670, 2022-08-03 17:09:44.342
9,250,241.1,1204,1000,100,82,1154, 2022-08-03 17:09:47.128
10,250,241.2,1228,1000,100,83,1670, 2022-08-03 17:09:50.336
11,250,241.1,1206,1000,100,82,1154, 2022-08-03 17:09:53.090
12,250,241.2,1230,1000,100,83,1670, 2022-08-03 17:09:56.356
13,30,19.4,127,1000,100,38,650, 2022-08-03 17:10:01.216
14,30,19.4,126,1000,100,35,650, 2022-08-03 17:10:02.940
15,30,19.4,127,1000,100,38,650, 2022-08-03 17:10:05.834
16,30,19.4,126,1000,100,38,650, 2022-08-03 17:10:09.200
17,30,19.4,126,1000,100,38,650, 2022-08-03 17:10:10.932
18,30,19.4,126,1000,100,38,650, 2022-08-03 17:10:12.600
19,250,241.1,1221,1000,100,83,1670, 2022-08-03 17:10:33.804
20,250,241.2,1202,1000,100,82,1154, 2022-08-03 17:10:36.420
21,250,241.1,1226,1000,100,83,1670, 2022-08-03 17:10:39.864
22,250,241.2,1204,1000,100,82,1154, 2022-08-03 17:10:42.502
23,250,241.1,1228,1000,100,83,1670, 2022-08-03 17:10:45.952
24,250,241.2,1207,1000,100,82,1154, 2022-08-03 17:10:48.520
25,250,241.1,1227,1000,100,83,1670, 2022-08-03 17:10:55.136
26,250,241.2,1206,1000,100,82,1154, 2022-08-03 17:10:57.710
27,250,241.1,1230,1000,100,83,1670, 2022-08-03 17:11:01.182
28,250,241.2,1208,1000,100,82,1154, 2022-08-03 17:11:03.816
