 PageNo, Speed, Length, RealPower, SetFrequency, SetDuty, SetPower, GateOnTime, WorkingTime
1,250,241.1,1660,1000,100,82,1154, 2022-08-03 09:10:24.996
2,250,241.2,1685,1000,100,83,1670, 2022-08-03 09:10:28.312
3,250,241.1,1666,1000,100,82,1153, 2022-08-03 09:10:31.076
4,250,241.2,1690,1000,100,83,1670, 2022-08-03 09:10:34.284
5,250,241.1,1670,1000,100,82,1154, 2022-08-03 09:10:37.046
6,250,241.2,1693,1000,100,83,1670, 2022-08-03 09:10:40.298
7,250,241.1,1669,1000,100,82,1153, 2022-08-03 09:10:46.156
8,250,241.2,1693,1000,100,83,1670, 2022-08-03 09:10:49.412
9,250,241.1,1673,1000,100,82,1154, 2022-08-03 09:10:52.188
10,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:10:55.440
11,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:10:58.250
12,250,241.2,1697,1000,100,83,1670, 2022-08-03 09:11:01.536
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:11:05.934
14,30,19.4,630,1000,100,35,650, 2022-08-03 09:11:07.698
15,30,19.4,680,1000,100,38,650, 2022-08-03 09:11:10.704
16,30,19.4,680,1000,100,38,650, 2022-08-03 09:11:14.008
17,30,19.4,680,1000,100,38,650, 2022-08-03 09:11:15.770
18,30,19.4,680,1000,100,38,650, 2022-08-03 09:11:17.464
19,250,241.1,1688,1000,100,83,1670, 2022-08-03 09:11:37.977
20,250,241.2,1671,1000,100,82,1154, 2022-08-03 09:11:40.543
21,250,241.1,1694,1000,100,83,1670, 2022-08-03 09:11:43.999
22,250,241.2,1674,1000,100,82,1154, 2022-08-03 09:11:46.655
23,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:11:50.105
24,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:11:52.639
25,250,241.1,1695,1000,100,83,1670, 2022-08-03 09:11:59.075
26,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:12:01.699
27,250,241.1,1698,1000,100,83,1670, 2022-08-03 09:12:05.119
28,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:12:07.779
