 PageNo, Speed, Length, RealPower, SetFrequency, SetDuty, SetPower, GateOnTime, WorkingTime
29,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:12:11.249
30,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:12:13.879
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:18.243
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:19.749
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:22.841
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:24.571
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:28.041
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:29.755
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:31.445
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:34.485
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:12:35.935
1,250,241.1,1665,1000,100,82,1154, 2022-08-03 09:13:23.573
2,250,241.2,1690,1000,100,83,1670, 2022-08-03 09:13:26.787
3,250,241.1,1671,1000,100,82,1153, 2022-08-03 09:13:29.591
4,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:13:32.799
5,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:13:35.679
6,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:13:38.899
7,250,241.1,1673,1000,100,82,1153, 2022-08-03 09:13:44.641
8,250,241.2,1697,1000,100,83,1670, 2022-08-03 09:13:47.873
9,250,241.1,1677,1000,100,82,1154, 2022-08-03 09:13:50.637
10,250,241.2,1699,1000,100,83,1670, 2022-08-03 09:13:53.921
11,250,241.1,1678,1000,100,82,1154, 2022-08-03 09:13:56.729
12,250,241.2,1700,1000,100,83,1670, 2022-08-03 09:14:00.021
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:14:04.477
14,30,19.4,632,1000,100,35,650, 2022-08-03 09:14:06.191
15,30,19.4,682,1000,100,38,650, 2022-08-03 09:14:09.111
16,30,19.4,682,1000,100,38,650, 2022-08-03 09:14:12.525
17,30,19.4,682,1000,100,38,650, 2022-08-03 09:14:14.303
18,30,19.4,682,1000,100,38,650, 2022-08-03 09:14:16.065
19,250,241.1,1690,1000,100,83,1670, 2022-08-03 09:14:36.471
20,250,241.2,1673,1000,100,82,1154, 2022-08-03 09:14:39.095
21,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:14:42.519
22,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:14:45.179
23,250,241.1,1698,1000,100,83,1670, 2022-08-03 09:14:48.647
24,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:14:51.295
25,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:14:57.735
26,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:15:00.423
27,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:15:03.921
28,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:15:06.661
29,250,241.1,1700,1000,100,83,1670, 2022-08-03 09:15:10.167
30,250,241.2,1680,1000,100,82,1154, 2022-08-03 09:15:12.847
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:17.255
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:18.757
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:21.851
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:23.579
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:27.013
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:28.751
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:30.469
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:33.471
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:15:34.947
1,250,241.1,1660,1000,100,82,1154, 2022-08-03 09:20:12.830
2,250,241.2,1685,1000,100,83,1670, 2022-08-03 09:20:16.134
3,250,241.1,1666,1000,100,82,1153, 2022-08-03 09:20:18.964
4,250,241.2,1690,1000,100,83,1670, 2022-08-03 09:20:22.210
5,250,241.1,1670,1000,100,82,1154, 2022-08-03 09:20:25.040
6,250,241.2,1694,1000,100,83,1670, 2022-08-03 09:20:28.278
7,250,241.1,1669,1000,100,82,1153, 2022-08-03 09:20:34.010
8,250,241.2,1694,1000,100,83,1670, 2022-08-03 09:20:37.294
9,250,241.1,1673,1000,100,82,1154, 2022-08-03 09:20:40.142
10,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:20:43.408
11,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:20:46.262
12,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:20:49.502
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:20:54.004
14,30,19.4,630,1000,100,35,650, 2022-08-03 09:20:55.772
15,30,19.4,680,1000,100,38,650, 2022-08-03 09:20:58.702
16,30,19.4,680,1000,100,38,650, 2022-08-03 09:21:02.102
17,30,19.4,680,1000,100,38,650, 2022-08-03 09:21:03.902
18,30,19.4,680,1000,100,38,650, 2022-08-03 09:21:05.698
19,250,241.1,1689,1000,100,83,1670, 2022-08-03 09:21:26.762
20,250,241.2,1671,1000,100,82,1154, 2022-08-03 09:21:29.482
21,250,241.1,1694,1000,100,83,1670, 2022-08-03 09:21:32.904
22,250,241.2,1674,1000,100,82,1154, 2022-08-03 09:21:35.590
23,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:21:38.996
24,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:21:41.622
25,250,241.1,1695,1000,100,83,1670, 2022-08-03 09:21:48.086
26,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:21:50.690
27,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:21:54.120
28,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:21:56.768
29,250,241.1,1700,1000,100,83,1670, 2022-08-03 09:22:00.268
30,250,241.2,1679,1000,100,82,1154, 2022-08-03 09:22:02.848
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:07.328
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:08.844
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:11.910
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:13.708
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:17.272
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:18.930
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:20.636
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:23.658
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:22:25.176
1,250,241.1,1660,1000,100,82,1154, 2022-08-03 09:32:13.603
2,250,241.2,1685,1000,100,83,1670, 2022-08-03 09:32:16.917
3,250,241.1,1667,1000,100,82,1153, 2022-08-03 09:32:19.777
4,250,241.2,1690,1000,100,83,1670, 2022-08-03 09:32:22.983
5,250,241.1,1670,1000,100,82,1154, 2022-08-03 09:32:25.741
6,250,241.2,1693,1000,100,83,1670, 2022-08-03 09:32:28.999
7,250,241.1,1669,1000,100,82,1153, 2022-08-03 09:32:34.729
8,250,241.2,1693,1000,100,83,1670, 2022-08-03 09:32:38.075
9,250,241.1,1673,1000,100,82,1154, 2022-08-03 09:32:40.845
10,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:32:44.055
11,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:32:46.835
12,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:32:50.134
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:32:54.792
14,30,19.4,630,1000,100,35,650, 2022-08-03 09:32:56.460
15,30,19.4,682,1000,100,38,650, 2022-08-03 09:32:59.402
16,30,19.4,680,1000,100,38,650, 2022-08-03 09:33:02.812
17,30,19.4,680,1000,100,38,650, 2022-08-03 09:33:04.548
18,30,19.4,680,1000,100,38,650, 2022-08-03 09:33:06.282
19,250,241.1,1689,1000,100,83,1670, 2022-08-03 09:33:26.884
20,250,241.2,1671,1000,100,82,1154, 2022-08-03 09:33:29.456
21,250,241.1,1694,1000,100,83,1670, 2022-08-03 09:33:32.914
22,250,241.2,1674,1000,100,82,1154, 2022-08-03 09:33:35.692
23,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:33:39.214
24,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:33:41.856
25,250,241.1,1695,1000,100,83,1670, 2022-08-03 09:33:48.282
26,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:33:50.912
27,250,241.1,1698,1000,100,83,1670, 2022-08-03 09:33:54.416
28,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:33:57.162
29,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:34:00.660
30,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:34:03.266
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:07.602
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:09.146
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:12.188
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:13.962
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:17.440
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:19.092
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:20.756
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:23.750
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:34:25.260
1,250,241.1,1665,1000,100,82,1154, 2022-08-03 09:35:12.514
2,250,241.2,1690,1000,100,83,1670, 2022-08-03 09:35:15.790
3,250,241.1,1671,1000,100,82,1153, 2022-08-03 09:35:18.524
4,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:35:21.906
5,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:35:24.734
6,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:35:27.966
7,250,241.1,1673,1000,100,82,1153, 2022-08-03 09:35:33.700
8,250,241.2,1697,1000,100,83,1670, 2022-08-03 09:35:36.990
9,250,241.1,1675,1000,100,82,1154, 2022-08-03 09:35:39.868
10,250,241.2,1699,1000,100,83,1670, 2022-08-03 09:35:43.188
11,250,241.1,1678,1000,100,82,1154, 2022-08-03 09:35:45.958
12,250,241.2,1700,1000,100,83,1670, 2022-08-03 09:35:49.202
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:35:53.676
14,30,19.4,632,1000,100,35,650, 2022-08-03 09:35:55.350
15,30,19.4,682,1000,100,38,650, 2022-08-03 09:35:58.320
16,30,19.4,682,1000,100,38,650, 2022-08-03 09:36:01.736
17,30,19.4,682,1000,100,38,650, 2022-08-03 09:36:03.442
18,30,19.4,682,1000,100,38,650, 2022-08-03 09:36:05.194
19,250,241.1,1690,1000,100,83,1670, 2022-08-03 09:36:25.666
20,250,241.2,1673,1000,100,82,1154, 2022-08-03 09:36:28.256
21,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:36:31.702
22,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:36:34.458
23,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:36:37.870
24,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:36:40.464
25,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:36:46.870
26,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:36:49.488
27,250,241.1,1700,1000,100,83,1670, 2022-08-03 09:36:52.908
28,250,241.2,1679,1000,100,82,1154, 2022-08-03 09:36:55.562
29,250,241.1,1702,1000,100,83,1670, 2022-08-03 09:36:59.086
30,250,241.2,1680,1000,100,82,1154, 2022-08-03 09:37:01.688
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:06.052
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:07.658
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:10.750
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:12.482
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:15.948
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:17.630
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:19.348
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:22.352
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:37:23.832
1,250,241.1,1663,1000,100,82,1154, 2022-08-03 09:38:41.402
2,250,241.2,1689,1000,100,83,1670, 2022-08-03 09:38:44.824
3,250,241.1,1670,1000,100,82,1153, 2022-08-03 09:38:47.640
4,250,241.2,1694,1000,100,83,1670, 2022-08-03 09:38:50.882
5,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:38:53.652
6,250,241.2,1697,1000,100,83,1670, 2022-08-03 09:38:56.908
7,250,241.1,1671,1000,100,82,1153, 2022-08-03 09:39:02.672
8,250,241.2,1697,1000,100,83,1670, 2022-08-03 09:39:05.896
9,250,241.1,1675,1000,100,82,1154, 2022-08-03 09:39:08.646
10,250,241.2,1699,1000,100,83,1670, 2022-08-03 09:39:11.878
11,250,241.1,1677,1000,100,82,1154, 2022-08-03 09:39:14.638
12,250,241.2,1700,1000,100,83,1670, 2022-08-03 09:39:17.912
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:39:22.470
14,30,19.4,632,1000,100,35,650, 2022-08-03 09:39:24.180
15,30,19.4,682,1000,100,38,650, 2022-08-03 09:39:27.104
16,30,19.4,682,1000,100,38,650, 2022-08-03 09:39:30.512
17,30,19.4,682,1000,100,38,650, 2022-08-03 09:39:32.282
18,30,19.4,682,1000,100,38,650, 2022-08-03 09:39:33.962
19,250,241.1,1690,1000,100,83,1670, 2022-08-03 09:39:54.697
20,250,241.2,1673,1000,100,82,1154, 2022-08-03 09:39:57.365
21,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:40:00.815
22,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:40:03.465
23,250,241.1,1698,1000,100,83,1670, 2022-08-03 09:40:06.937
24,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:40:09.611
25,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:40:16.067
26,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:40:18.675
27,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:40:22.119
28,250,241.2,1679,1000,100,82,1154, 2022-08-03 09:40:24.785
29,250,241.1,1700,1000,100,83,1670, 2022-08-03 09:40:28.253
30,250,241.2,1680,1000,100,82,1154, 2022-08-03 09:40:30.903
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:35.313
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:36.961
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:40.037
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:41.781
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:45.235
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:46.951
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:48.669
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:51.647
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:40:53.137
1,250,241.1,1665,1000,100,82,1154, 2022-08-03 09:41:46.815
2,250,241.2,1692,1000,100,83,1670, 2022-08-03 09:41:50.095
3,250,241.1,1671,1000,100,82,1153, 2022-08-03 09:41:52.921
4,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:41:56.173
5,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:41:58.969
6,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:42:02.217
7,250,241.1,1673,1000,100,82,1153, 2022-08-03 09:42:08.091
8,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:42:11.299
9,250,241.1,1677,1000,100,82,1154, 2022-08-03 09:42:14.037
10,250,241.2,1699,1000,100,83,1670, 2022-08-03 09:42:17.295
11,250,241.1,1678,1000,100,82,1154, 2022-08-03 09:42:20.165
12,250,241.2,1700,1000,100,83,1670, 2022-08-03 09:42:23.417
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:42:27.947
14,30,19.4,632,1000,100,35,650, 2022-08-03 09:42:29.667
15,30,19.4,682,1000,100,38,650, 2022-08-03 09:42:32.583
16,30,19.4,682,1000,100,38,650, 2022-08-03 09:42:35.889
17,30,19.4,682,1000,100,38,650, 2022-08-03 09:42:37.641
18,30,19.4,682,1000,100,38,650, 2022-08-03 09:42:39.395
19,250,241.1,1690,1000,100,83,1670, 2022-08-03 09:43:00.037
20,250,241.2,1673,1000,100,82,1154, 2022-08-03 09:43:02.689
21,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:43:06.095
22,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:43:08.875
23,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:43:12.289
24,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:43:14.989
25,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:43:21.363
26,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:43:23.989
27,250,241.1,1700,1000,100,83,1670, 2022-08-03 09:43:27.421
28,250,241.2,1679,1000,100,82,1154, 2022-08-03 09:43:30.071
29,250,241.1,1702,1000,100,83,1670, 2022-08-03 09:43:33.523
30,250,241.2,1680,1000,100,82,1154, 2022-08-03 09:43:36.177
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:40.517
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:42.037
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:45.111
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:46.877
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:50.323
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:52.035
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:53.791
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:56.755
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:43:58.245
1,250,241.1,1665,1000,100,82,1154, 2022-08-03 09:44:44.527
2,250,241.2,1692,1000,100,83,1670, 2022-08-03 09:44:47.907
3,250,241.1,1673,1000,100,82,1153, 2022-08-03 09:44:50.729
4,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:44:54.013
5,250,241.1,1675,1000,100,82,1154, 2022-08-03 09:44:56.833
6,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:45:00.099
7,250,241.1,1673,1000,100,82,1153, 2022-08-03 09:45:05.889
8,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:45:09.193
9,250,241.1,1677,1000,100,82,1154, 2022-08-03 09:45:12.041
10,250,241.2,1699,1000,100,83,1670, 2022-08-03 09:45:15.359
11,250,241.1,1678,1000,100,82,1154, 2022-08-03 09:45:18.135
12,250,241.2,1702,1000,100,83,1670, 2022-08-03 09:45:21.389
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:45:25.869
14,30,19.4,632,1000,100,35,650, 2022-08-03 09:45:27.541
15,30,19.4,682,1000,100,38,650, 2022-08-03 09:45:30.489
16,30,19.4,682,1000,100,38,650, 2022-08-03 09:45:33.941
17,30,19.4,682,1000,100,38,650, 2022-08-03 09:45:35.645
18,30,19.4,682,1000,100,38,650, 2022-08-03 09:45:37.397
19,250,241.1,1692,1000,100,83,1670, 2022-08-03 09:45:58.179
20,250,241.2,1674,1000,100,82,1154, 2022-08-03 09:46:00.789
21,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:46:04.307
22,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:46:07.063
23,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:46:10.473
24,250,241.2,1679,1000,100,82,1154, 2022-08-03 09:46:13.069
25,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:46:19.459
26,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:46:22.077
27,250,241.1,1700,1000,100,83,1670, 2022-08-03 09:46:25.509
28,250,241.2,1679,1000,100,82,1154, 2022-08-03 09:46:28.201
29,250,241.1,1702,1000,100,83,1670, 2022-08-03 09:46:31.747
30,250,241.2,1680,1000,100,82,1154, 2022-08-03 09:46:34.367
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:38.719
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:40.231
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:43.343
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:45.085
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:48.525
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:50.257
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:51.957
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:54.939
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:46:56.452
1,250,241.1,1660,1000,100,82,1154, 2022-08-03 09:56:37.689
2,250,241.2,1685,1000,100,83,1670, 2022-08-03 09:56:41.005
3,250,241.1,1666,1000,100,82,1153, 2022-08-03 09:56:43.869
4,250,241.2,1690,1000,100,83,1670, 2022-08-03 09:56:47.091
5,250,241.1,1670,1000,100,82,1154, 2022-08-03 09:56:49.927
6,250,241.2,1693,1000,100,83,1670, 2022-08-03 09:56:53.267
7,250,241.1,1669,1000,100,82,1153, 2022-08-03 09:56:59.005
8,250,241.2,1694,1000,100,83,1670, 2022-08-03 09:57:02.313
9,250,241.1,1673,1000,100,82,1154, 2022-08-03 09:57:05.149
10,250,241.2,1697,1000,100,83,1670, 2022-08-03 09:57:08.403
11,250,241.1,1675,1000,100,82,1154, 2022-08-03 09:57:11.223
12,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:57:14.449
13,30,19.4,682,1000,100,38,650, 2022-08-03 09:57:18.949
14,30,19.4,630,1000,100,35,650, 2022-08-03 09:57:20.661
15,30,19.4,680,1000,100,38,650, 2022-08-03 09:57:23.567
16,30,19.4,680,1000,100,38,650, 2022-08-03 09:57:26.889
17,30,19.4,680,1000,100,38,650, 2022-08-03 09:57:28.651
18,30,19.4,680,1000,100,38,650, 2022-08-03 09:57:30.377
19,250,241.1,1689,1000,100,83,1670, 2022-08-03 09:57:50.853
20,250,241.2,1671,1000,100,82,1154, 2022-08-03 09:57:53.509
21,250,241.1,1694,1000,100,83,1670, 2022-08-03 09:57:56.969
22,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:57:59.567
23,250,241.1,1697,1000,100,83,1670, 2022-08-03 09:58:03.019
24,250,241.2,1677,1000,100,82,1154, 2022-08-03 09:58:05.635
25,250,241.1,1695,1000,100,83,1670, 2022-08-03 09:58:12.035
26,250,241.2,1675,1000,100,82,1154, 2022-08-03 09:58:14.697
27,250,241.1,1699,1000,100,83,1670, 2022-08-03 09:58:18.227
28,250,241.2,1678,1000,100,82,1154, 2022-08-03 09:58:20.861
29,250,241.1,1700,1000,100,83,1670, 2022-08-03 09:58:24.347
30,250,241.2,1679,1000,100,82,1154, 2022-08-03 09:58:26.967
31,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:31.211
32,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:32.719
33,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:35.797
34,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:37.583
35,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:41.137
36,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:42.851
37,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:44.567
38,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:47.539
39,30,19.4,682,1000,100,38,650, 2022-08-03 09:58:49.037
1,250,241.1,1665,1000,100,82,1154, 2022-08-03 09:59:35.085
2,250,241.2,1692,1000,100,83,1670, 2022-08-03 09:59:38.267
3,250,241.1,1671,1000,100,82,1153, 2022-08-03 09:59:41.031
4,250,241.2,1695,1000,100,83,1670, 2022-08-03 09:59:44.311
5,250,241.1,1674,1000,100,82,1154, 2022-08-03 09:59:47.127
6,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:59:50.531
7,250,241.1,1673,1000,100,82,1153, 2022-08-03 09:59:56.279
8,250,241.2,1698,1000,100,83,1670, 2022-08-03 09:59:59.511
9,250,241.1,1677,1000,100,82,1154, 2022-08-03 10:00:02.321
10,250,241.2,1699,1000,100,83,1670, 2022-08-03 10:00:05.599
11,250,241.1,1678,1000,100,82,1154, 2022-08-03 10:00:08.441
12,250,241.2,1700,1000,100,83,1670, 2022-08-03 10:00:11.655
13,30,19.4,682,1000,100,38,650, 2022-08-03 10:00:16.063
14,30,19.4,681,1000,100,35,650, 2022-08-03 10:00:17.769
15,30,19.4,682,1000,100,38,650, 2022-08-03 10:00:20.687
16,30,19.4,682,1000,100,38,650, 2022-08-03 10:00:24.105
17,30,19.4,682,1000,100,38,650, 2022-08-03 10:00:25.853
18,30,19.4,682,1000,100,38,650, 2022-08-03 10:00:27.557
19,250,241.1,1690,1000,100,83,1670, 2022-08-03 10:00:47.957
20,250,241.2,1673,1000,100,82,1154, 2022-08-03 10:00:50.547
21,250,241.1,1697,1000,100,83,1670, 2022-08-03 10:00:53.987
22,250,241.2,1677,1000,100,82,1154, 2022-08-03 10:00:56.691
23,250,241.1,1699,1000,100,83,1670, 2022-08-03 10:01:00.205
24,250,241.2,1678,1000,100,82,1154, 2022-08-03 10:01:02.879
25,250,241.1,1697,1000,100,83,1670, 2022-08-03 10:01:09.362
26,250,241.2,1678,1000,100,82,1154, 2022-08-03 10:01:11.988
27,250,241.1,1700,1000,100,83,1670, 2022-08-03 10:01:15.506
28,250,241.2,1679,1000,100,82,1154, 2022-08-03 10:01:18.170
29,250,241.1,1702,1000,100,83,1670, 2022-08-03 10:01:21.632
30,250,241.2,1680,1000,100,82,1154, 2022-08-03 10:01:24.254
31,30,19.4,682,1000,100,38,650, 2022-08-03 10:01:28.584
32,30,19.4,682,1000,100,38,650, 2022-08-03 10:01:30.136
